español,kanji,ejemplo,ejemplokanji
negativo,不,ふとう,不当
terrestre,世,せかい,世界
principal,主,しゅじん,主人
abordar,乗,のります,乗ります
asunto,事,しごと,仕事
capital,京,とうきょう,東京
atender,仕,しごと,仕事
generacion,代,じだい,時代
atraves,以,いじょう,以上
pequeño,低,ひくい,低い
habitar,住,すみます,住みます
cuerpo,体,からだ,体
fabricar,作,つくる,作る
usar,使,つかう,使う
conveniente,便,ふべん,不便
tener prestado,借,かりる,借りる
trabajar,働,はたらく,働く
origen,元,げんき,元気
hermano,弟,あにき,あに
luz,光,ひかり,光
copia,写,しゃしん,写真
invierno,冬,ふゆ,冬
cortar,切,きる,切る
separado,別,べつ,別
fuerza,力,ちから,力
esfuerzo,勉,べんきょう,勉強
movimiento,動,うごく,動く
seccion,区,く,区
doctor,医,いしゃ,医者
dejar,去,きょねん,去年
pedestal,台,だい,台
adecuado,合,あう,合う
igual,同,おなじ,同じ
sabor,味,いみ,意味
bienes,品,しなもの,品物
empleado,員,かいしゃいん,会社員
vuelta,回,まわす,回す
mapa,図,ちず,地図
suelo,地,ち,地
lugar publico,堂,どう,堂
ubicacion,場,ばしょ,場所
voz,声,こえ,声
vender,売,うる,売る
verano,夏,なつ,夏
ocaso,夕,ゆうべ,夕べ
noche,夜,よる,夜
delgado,太,ふとい,太い
gustar,好,すき,好き
hermanita,妹,いもうと,妹
hermana,姉,あね,姉
comenzar,始,はじめる,始める
letra,字,かんじ,漢字
habitacion,室,しつ,室
casa,家,いえ,家
frio,寒,さむい,寒い
azotea,屋,おくじょう,屋上
construccion,工,こうじょ,工場
ciudad,市,し,市
regresar,帰,かえる,帰る
amplio,広,ひろい,広い
ocurrencias,度,なんど,何度
construir,建,たてもの,建物
jalar,引,ひき,引き
hermanito,弟,おとうと,弟
debil,弱,よわい,弱い
fuerte,強,つよい,強い
esperar,待,まつ,待つ
corazon,心,こころ,心
creer,思,おもう,思う
repentino,急,いそぐ,急ぐ
malo,悪,わるい,悪い
idea,意,いみ,意味
lugar,所,ところ,所
tener,持,もつ,持つ
enseñar,教,おしえる,教える
literatura,文,ぶんか,文化
materiales,料,りょうり,料理
forma,方,かた,方
viaje,旅,りょこう,旅行
familia,族,かぞく,家族
rapido,早,はやい,早い
brilloso,明,あかるい,明るい
proyeccion,映,えいが,映画
primavera,春,はる,春
vespertino,昼,ひる,昼
caliente,暑,あつい,暑い
oscuridad,暗,くらい,暗い
dia,曜,ようび,曜日
estar,有,ある,有る
ropa,服,ふく,服
alba,朝,あさ,朝
pueblo,村,むら,村
arboleda,林,はやし,林
bosque,森,もり,森
negocio,業,こうぎょう,工業
musica,楽,おんがく,音楽
cantar,歌,うたう,歌う
detener,止,とまる,止まる
correcto,正,ただしい,正しい
caminar,歩,あるく,歩く
muerte,死,しね,死ね
gente,民,たみ,民
estanque,池,いけ,池
vertir,注,そそぐ,注ぐ
oceano,洋,かいよう,海洋
lavar,洗,あらう,洗う
mar,海,うみ,海
china,漢,かんじ,漢字
vaca,牛,ぎゅう,牛
objeto,物,もの,物
especial,特,とくべつ,特別
perro,犬,いぬ,犬
razon,理,り,理
producto,産,さんぎょう,産業
tarea,用,よう,用
campo arroz,田,た,田
comunidad,町,まち,町
imagen,画,えいが,映画
mundo,界,せかい,世界
enfermo,病,びょうき,病気
revelar,発,はっぴょう,発表
prefectura,県,けん,県
realidad,真,しゃしん,写真
llegar,着,きる,着る
saber,知,しる,知る
corto,短,みじかい,短い
afinar,研,けんきゅう,研究
yo,私,わたし,私
otoño,秋,あき,秋
investigar,究,けんきゅう,研究
respuesta,答,こたえ,答え
papel,紙,かみ,紙
final,終,おわる,終わる
aprender,習,ならう,習う
razonar,考,かんがう,考え
alguien,者,もの,者
carne,肉,にく,肉
ciclo,自,じぶん,自分
color,色,いろ,色
ingles,英,えいご,英語
te,茶,ちゃ,茶
vegetales,菜,やさい,野菜
medicina,薬,くすり,薬
padres,親,おや,親
plan,計,けいかく,計画
prueba,試,しけん,試験
opinion,説,せつめい,説明
prestar,貸,かす,貸す
sustancia,質,しつ,質
rojo,赤,あかい,赤い
correr,走,はしる,走る
despertar,起,おきる,起きる
giratorio,転,じてんしゃ,自転車
liviano,軽,かるい,軽い
cerca,近,ちかい,近い
enviar,送,おくる,送る
atravesar,通,かよう,通う
avanzar,進,すすむ,進む
transportar,運,はこぶ,運ぶ
distante,遠,とおい,遠い
capital,都,みやこ,都
pesado,重,おもい,重い
campo,野,やさい,野菜
plata,銀,ぎんこう,銀行
puertas,門,もん,門
abrir,開,あける,開ける
institucion,院,びょういん,病院
colectar,集,あつめる,集める
azul,青,あおい,青い
sonido,音,おと,音
cabeza,頭,あたま,頭
tema,題,もんだい,問題
cara,顔,かお,顔
viento,風,かぜ,風
comida,飯,せきはん,赤飯
palacio,館,としょかん,図書館
cuello,首,くび,首
examen,験,しけん,試験
pajaro,鳥,とり,鳥
negro,黒,くろ,黒
