verbo,kanji,lectura
abrir,
regalar,
collecionar,
bañarse,
haber,
insertar,
preparar,
nacer,
levantarse,
enseñar,
memorizar,
bajar,
reemplazar,
llamar.telefono,
tener.prestado,
razonar,
prestar.atencion,
poner.camisa,
darme,
cerrar,
averiguar,
tirar,
comer,
ser.suficiente,
cansarse,
encender,
partir,
poder,
salir,
parar,
acostarse,
transbordar,
comenzar,
perder,
mostrar,
ver,
acoger,
renunciar,
olvidar,
inspeccionar,診る,みる
llegar.tarde,遅れる,おくれる
construir,建てる,たてる
verse,見える,みえる
oirse,聞こえる,きこえる
venderse,売れる,うれる
apagarse,消える,きえる
descomponerse,壊れる,こわれる
quebrarse,割れる,われる
fracturarse,折れる,おれる
desgarrarse,破れる,やぶれる
ensuciarse,汚れる,よごれる
salirse.boton,外れる,はずれる
equivocarse,まちがえる,まちがえる
colgar,掛ける,かける
colocar,並べる,ならべる
plantar,植える,うえる
resumir,纏める,纏める
arreglar,,
determinar,決める,きめる
comunicar,知らせる,しらせる
